TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE
os_inventory_serial_numbers	idx_item	company_id	1
os_inventory_serial_numbers	idx_item	item_id	1
os_inventory_serial_numbers	idx_location	company_id	1
os_inventory_serial_numbers	idx_location	location_id	1
os_inventory_serial_numbers	idx_status	company_id	1
os_inventory_serial_numbers	idx_status	status	1
os_inventory_serial_numbers	idx_supplier	company_id	1
os_inventory_serial_numbers	idx_supplier	supplier_id	1
os_inventory_serial_numbers	PRIMARY	id	0
os_inventory_serial_numbers	uq_serial_number	serial_number	0
os_inventory_stock_locations	PRIMARY	id	0
os_inventory_suppliers	idx_inventory_suppliers_user_id	user_id	0
os_inventory_suppliers	PRIMARY	id	0
os_items_inventory_invoices	idx-inv_items-invoice_del	inventory_invoices_id	1
os_items_inventory_invoices	idx-inv_items-invoice_del	is_deleted	1
os_items_inventory_invoices	PRIMARY	id	0
os_jobs	idx_jobs_deleted	is_deleted	1
os_jobs	idx_jobs_status	status	1
os_jobs	idx_jobs_type	job_type	1
os_jobs	PRIMARY	id	0
os_jobs_phones	idx_jobs_phones_job_id	job_id	1
os_jobs_phones	idx_jobs_phones_phone	phone_number	1
os_jobs_phones	PRIMARY	id	0
os_jobs_ratings	idx_jobs_ratings_contract	contract_id	1
os_jobs_ratings	idx_jobs_ratings_job_id	job_id	1
os_jobs_ratings	idx_jobs_ratings_judiciary	judiciary_id	1
os_jobs_ratings	idx_jobs_ratings_type	rating_type	1
os_jobs_ratings	PRIMARY	id	0
os_jobs_type	PRIMARY	id	0
os_jobs_working_hours	idx_jobs_hours_job_id	job_id	1
os_jobs_working_hours	PRIMARY	id	0
os_jobs_working_hours	uk_job_day	job_id	0
os_jobs_working_hours	uk_job_day	day_of_week	0
os_judiciary	id	id	1
os_judiciary	idx-judiciary-company	company_id	1
os_judiciary	idx-judiciary-contract_del	contract_id	1
os_judiciary	idx-judiciary-contract_del	is_deleted	1
os_judiciary	idx_jud_contract_deleted	contract_id	1
os_judiciary	idx_jud_contract_deleted	is_deleted	1
os_judiciary	idx_j_isdel	is_deleted	1
os_judiciary	PRIMARY	id	0
os_judiciary_actions	PRIMARY	id	0
os_judiciary_cost	PRIMARY	id	0
os_judiciary_customers_actions	action_date	action_date	1
os_judiciary_customers_actions	idx-jud_cust-customer	customers_id	1
os_judiciary_customers_actions	idx-jud_cust-judiciary_del	judiciary_id	1
os_judiciary_customers_actions	idx-jud_cust-judiciary_del	is_deleted	1
os_judiciary_customers_actions	idx_is_current	is_current	1
os_judiciary_customers_actions	idx_jca_judid_del_act_id	judiciary_id	1
os_judiciary_customers_actions	idx_jca_judid_del_act_id	is_deleted	1
os_judiciary_customers_actions	idx_jca_judid_del_act_id	action_date	1
os_judiciary_customers_actions	idx_jca_judid_del_act_id	id	1
os_judiciary_customers_actions	idx_parent_id	parent_id	1
os_judiciary_customers_actions	idx_request_status	request_status	1
os_judiciary_customers_actions	index_actions	judiciary_actions_id	1
os_judiciary_customers_actions	index_customers	customers_id	1
os_judiciary_customers_actions	index_judiciary	judiciary_id	1
os_judiciary_customers_actions	PRIMARY	id	0
os_judiciary_inform_address	PRIMARY	id	0
os_judiciary_type	PRIMARY	id	0
os_lawyers	PRIMARY	id	0
os_lawyers_image	PRIMARY	id	0
os_loan_scheduling	idx-loan-contract_del	contract_id	1
os_loan_scheduling	idx-loan-contract_del	is_deleted	1
